agence_cat,biblionumber,collection,collection1,collection2,collection3,collection4,date_transaction,element_initial,point_acces,subd_chrono,subd_forme,subd_geo,subd_sujet,support,unimarc
BnF,462,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1984-04-20,"Indexation (documentation)","Indexation (documentation)",ABS,ABS,ABS,ABS,Livre,f606
BnF,462,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1984-04-20,"00 ","00 ",ABS,ABS,ABS,ABS,Livre,f686
BnF,464,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1989-09-14,Catalogage,"Catalogage - Informatique - France",ABS,ABS,France,Informatique,Livre,f606
BnF,464,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1989-09-14,"Coopération entre bibliothèques","Coopération entre bibliothèques - France",ABS,ABS,France,ABS,Livre,f606
BnF,464,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1989-09-14,"Échange d'informations bibliographiques","Échange d'informations bibliographiques - France",ABS,ABS,France,ABS,Livre,f606
BnF,464,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1989-09-14,360,360,ABS,ABS,ABS,ABS,Livre,f686
Roubaix,465,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2011-05-25,Tsiganes,"Tsiganes - Musique",ABS,ABS,ABS,Musique,"Disque compact",f606
Roubaix,465,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2011-05-25,"Guitare, Musique de (flamenco)","Guitare, Musique de (flamenco) - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,465,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2011-05-25,072.2,072.2,ABS,ABS,ABS,ABS,"Disque compact",f679
Roubaix,465,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2011-05-25,"Flamenco (musique)","Flamenco (musique) - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,466,"Adultes - Musique et arts vivants - Musique - Reggae",Adultes,"Musique et arts vivants",Musique,Reggae,2016-01-31,"Reggae (musique)","Reggae (musique) - Disques - Afrique du Sud",ABS,ABS,"Afrique du Sud",Disques,"Disque compact",f606
Roubaix,466,"Adultes - Musique et arts vivants - Musique - Reggae",Adultes,"Musique et arts vivants",Musique,Reggae,2016-01-31,052.2,052.2,ABS,ABS,ABS,ABS,"Disque compact",f679
Roubaix,467,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2007-08-28,Tsiganes,"Tsiganes - Musique",ABS,ABS,ABS,Musique,"Disque compact",f606
Roubaix,467,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2007-08-28,Bouzouki,"Bouzouki - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,467,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2007-08-28,"Violon, Musique de","Violon, Musique de - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,467,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2007-08-28,"Accordéon, Musique d'","Accordéon, Musique d' - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,467,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2007-08-28,"Clarinette, Musique de","Clarinette, Musique de - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,467,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2007-08-28,003.1,003.1,ABS,ABS,ABS,ABS,"Disque compact",f679
BnF,470,"Jeunesse - Romans - Romans pour enfants",Jeunesse,Romans,"Romans pour enfants",INC,1989-05-19,823,823,ABS,ABS,ABS,ABS,Livre,f686
BnF,471,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1991-03-26,"Bibliothèques publiques","Bibliothèques publiques - Actes de congrès - France",ABS,ABS,France,"Actes de congrès",Livre,f606
BnF,471,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1991-03-26,"Coopération entre bibliothèques","Coopération entre bibliothèques - Actes de congrès - France",ABS,ABS,France,"Actes de congrès",Livre,f606
BnF,471,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1991-03-26,"Bibliothèques publiques","Bibliothèques publiques - Actes de congrès",ABS,ABS,ABS,"Actes de congrès",Livre,f606
BnF,471,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1991-03-26,027.444,027.444,ABS,ABS,ABS,ABS,Livre,f676
BnF,471,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1991-03-26,"0  ","0  ",ABS,ABS,ABS,ABS,Livre,f686
BnF,472,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1989-04-05,"Bibliothèques universitaires","Bibliothèques universitaires - France",ABS,ABS,France,ABS,Livre,f606
BnF,472,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1989-04-05,"027.709 44","027.709 44",ABS,ABS,ABS,ABS,Livre,f676
BnF,472,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1989-04-05,385,385,ABS,ABS,ABS,ABS,Livre,f686
Roubaix,473,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,2007-09-03,"Bibliothèque de France","Bibliothèque de France",ABS,ABS,ABS,ABS,Livre,f601
Roubaix,474,"Patrimoine - Patrimoine écrit",Patrimoine,"Patrimoine écrit",INC,INC,2007-08-28,Bibliothèques,"Bibliothèques - France - 20e siècle","20e siècle",ABS,France,ABS,Livre,f606
BnF,475,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1992-02-14,"Bibliothèques d'entreprises","Bibliothèques d'entreprises - France",ABS,ABS,France,ABS,Livre,f606
BnF,475,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1992-02-14,Travailleurs,"Travailleurs - Livres et lecture - France",ABS,ABS,France,"Livres et lecture",Livre,f606
BnF,475,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1992-02-14,027.69,027.69,ABS,ABS,ABS,ABS,Livre,f676
BnF,475,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1992-02-14,362,362,ABS,ABS,ABS,ABS,Livre,f686
