agence_cat,biblionumber,collection,collection1,collection2,collection3,collection4,date_transaction,element_initial,point_acces,subd_chrono,subd_forme,subd_geo,subd_sujet,support,unimarc
BnF,520,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1982-10-26,"00 ","00 ",ABS,ABS,ABS,ABS,Livre,f686
Roubaix,521,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,2007-08-28,Bibliothèques,"Bibliothèques - Statistiques",ABS,ABS,ABS,Statistiques,Livre,f606
BnF,522,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1978-11-10,"00 ","00 ",ABS,ABS,ABS,ABS,Livre,f686
Roubaix,523,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,2007-08-28,Reliure,Reliure,ABS,ABS,ABS,ABS,Livre,f606
Roubaix,524,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2007-08-28,Salsa,"Salsa - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,524,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2007-08-28,053.2,053.2,ABS,ABS,ABS,ABS,"Disque compact",f679
Roubaix,525,"Adultes - Musique et arts vivants - Musique - Musique d'ambiance",Adultes,"Musique et arts vivants",Musique,"Musique d'ambiance",2007-08-28,570,570,ABS,ABS,ABS,ABS,"Disque compact",f679
Roubaix,525,"Adultes - Musique et arts vivants - Musique - Musique d'ambiance",Adultes,"Musique et arts vivants",Musique,"Musique d'ambiance",2007-08-28,"Musique d'ambiance","Musique d'ambiance - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,526,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2007-08-28,Salsa,"Salsa - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,526,"Adultes - Musique et arts vivants - Musique - World",Adultes,"Musique et arts vivants",Musique,World,2007-08-28,053.2,053.2,ABS,ABS,ABS,ABS,"Disque compact",f679
Roubaix,527,"Jeunesse - Musique",Jeunesse,Musique,INC,INC,2007-08-28,"Chansons enfantines","Chansons enfantines - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,527,"Jeunesse - Musique",Jeunesse,Musique,INC,INC,2007-08-28,712,712,ABS,ABS,ABS,ABS,"Disque compact",f679
Roubaix,528,"Adultes - Littératures - Romans - Romans",Adultes,Littératures,Romans,Romans,2005-12-05,ABS,ABS,ABS,ABS,ABS,ABS,Livre,ABS
Roubaix,531,"Adultes - Divers",Adultes,Divers,INC,INC,2005-03-22,ABS,ABS,ABS,ABS,ABS,ABS,Livre,ABS
BnF,532,"Adultes - Littératures - Romans - Romans",Adultes,Littératures,Romans,Romans,1992-11-27,823,823,ABS,ABS,ABS,ABS,Livre,f686
BnF,535,"Adultes - Divers",Adultes,Divers,INC,INC,1984-04-20,869.342,869.342,ABS,ABS,ABS,ABS,Livre,f676
BnF,535,"Adultes - Divers",Adultes,Divers,INC,INC,1984-04-20,"82 ","82 ",ABS,ABS,ABS,ABS,Livre,f686
